id,player,team,bye,posRank,isDrafted,owner,draftedPosition
1,Adrian Peterson,MIN,10,RB1,,,
2,LeSean McCoy,PHI,7,RB2,,,
3,Jamaal Charles,KC,6,RB3,,,
4,Matt Forte,CHI,9,RB4,,,
5,Marshawn Lynch,SEA,4,RB5,,,
6,Eddie Lacy,GB,9,RB6,,,
7,Calvin Johnson,DET,9,WR1,,,
8,Peyton Manning,DEN,4,QB1,,,
9,Arian Foster,HOU,10,RB7,,,
10,Jimmy Graham,NO,6,TE1,,,
11,Doug Martin,TB,7,RB8,,,
12,Aaron Rodgers,GB,9,QB2,,,
13,Zac Stacy,STL,4,RB9,,,
14,DeMarco Murray,DAL,11,RB10,,,
15,Demaryius Thomas,DEN,4,WR2,,,
16,A.J. Green,CIN,4,WR3,,,
17,Drew Brees,NO,6,QB3,,,
18,Dez Bryant,DAL,11,WR4,,,
19,LeVeon Bell,PIT,12,RB11,,,
20,Brandon Marshall,CHI,9,WR5,,,
21,Julio Jones,ATL,9,WR6,,,
22,Jordy Nelson,GB,9,WR7,,,
23,Alfred Morris,WAS,10,RB12,,,
24,Alshon Jeffery,CHI,9,WR8,,,
25,Montee Ball,DEN,4,RB13,,,
26,Giovani Bernard,CIN,4,RB14,,,
27,Julius Thomas,DEN,4,TE2,,,
28,Antonio Brown,PIT,12,WR9,,,
29,Reggie Bush,DET,9,RB15,,,
30,Randall Cobb,GB,9,WR10,,,
31,Andre Johnson,HOU,10,WR11,,,
32,Ben Tate,CLE,4,RB16,,,
33,Vincent Jackson,TB,7,WR12,,,
34,Larry Fitzgerald,ARI,4,WR13,,,
35,Rob Gronkowski,NE,10,TE3,,,
36,Pierre Garcon,WAS,10,WR14,,,
37,Ryan Mathews,SD,10,RB17,,,
38,DeSean Jackson,WAS,10,WR15,,,
39,Matthew Stafford,DET,9,QB4,,,
40,C.J. Spiller,BUF,9,RB18,,,
41,Frank Gore,SF,8,RB19,,,
42,Keenan Allen,SD,10,WR16,,,
43,Victor Cruz,NYG,8,WR17,,,
44,Roddy White,ATL,9,WR18,,,
45,Cam Newton,CAR,12,QB5,,,
46,Andre Ellington,ARI,4,RB20,,,
47,Wes Welker,DEN,4,WR19,,,
48,Andrew Luck,IND,10,QB6,,,
49,Percy Harvin,SEA,4,WR20,,,
50,Vernon Davis,SF,8,TE4,,,
51,Trent Richardson,IND,10,RB21,,,
52,Toby Gerhart,JAC,11,RB22,,,
53,Michael Crabtree,SF,8,WR21,,,
54,Ray Rice,BAL,11,RB23,,,
55,Rashad Jennings,NYG,8,RB24,,,
56,Torrey Smith,BAL,11,WR22,,,
57,Chris Johnson,NYJ,11,RB25,,,
58,Steven Jackson,ATL,9,RB26,,,
59,Michael Floyd,ARI,4,WR23,,,
60,Shane Vereen,NE,10,RB27,,,
61,Julian Edelman,NE,10,WR24,,,
62,Robert Griffin III,WAS,10,QB7,,,
63,Nick Foles,PHI,7,QB8,,,
64,Cordarrelle Patterson,MIN,10,WR25,,,
65,Jeremy Maclin,PHI,7,WR26,,,
66,Joique Bell,DET,9,RB28,,,
67,T.Y. Hilton,IND,10,WR27,,,
68,Stevan Ridley,NE,10,RB29,,,
69,Reggie Wayne,IND,10,WR28,,,
70,Marques Colston,NO,6,WR29,,,
71,Colin Kaepernick,SF,8,QB9,,,
72,Bishop Sankey,TEN,9,RB30,,,
73,Emmanuel Sanders,DEN,4,WR30,,,
74,Golden Tate,DET,9,WR31,,,
75,Jason Witten,DAL,11,TE5,,,
76,Sammy Watkins,BUF,9,WR32,,,
77,Pierre Thomas,NO,6,RB31,,,
78,Kendall Wright,TEN,9,WR33,,,
79,Mike Wallace,MIA,5,WR34,,,
80,Maurice Jones-Drew,OAK,5,RB32,,,
81,Eric Decker,NYJ,11,WR35,,,
82,Terrance Williams,DAL,11,WR36,,,
83,Cecil Shorts,JAC,11,WR37,,,
84,Chris Ivory,NYJ,11,RB33,,,
85,Fred Jackson,BUF,9,RB34,,,
86,Danny Woodhead,SD,10,RB35,,,
87,Darren Sproles,PHI,7,RB36,,,
88,Anquan Boldin,SF,8,WR38,,,
89,DeAngelo Williams,CAR,12,RB37,,,
90,DeAndre Hopkins,HOU,10,WR39,,,
91,Khiry Robinson,NO,6,RB38,,,
92,Lamar Miller,MIA,5,RB39,,,
93,Bernard Pierce,BAL,11,RB40,,,
94,Riley Cooper,PHI,7,WR40,,,
95,Danny Amendola,NE,10,WR41,,,
96,Jordan Cameron,CLE,4,TE6,,,
97,Dwayne Bowe,KC,6,WR42,,,
98,Seattle Seahawks D/ST,SEA,4,DEF1,,,
99,Russell Wilson,SEA,4,QB10,,,
100,Matt Ryan,ATL,9,QB11,,,
101,Hakeem Nicks,IND,10,WR43,,,
102,Knowshon Moreno,MIA,5,RB41,,,
103,Tre Mason,STL,4,RB42,,,
104,Greg Olsen,CAR,12,TE7,,,
105,Shonn Greene,TEN,9,RB43,,,
106,Greg Jennings,MIN,10,WR44,,,
107,Darren McFadden,OAK,5,RB44,,,
108,Mark Ingram,NO,6,RB45,,,
109,Christine Michael,SEA,4,RB46,,,
110,Dennis Pitta,BAL,11,TE8,,,
111,Tom Brady,NE,10,QB12,,,
112,Donald Brown,SD,10,RB47,,,
113,Steve Smith,BAL,11,WR45,,,
114,Jeremy Hill,CIN,4,RB48,,,
115,Tony Romo,DAL,11,QB13,,,
116,LeGarrette Blount,PIT,12,RB49,,,
117,Justin Hunter,TEN,9,WR46,,,
118,Philip Rivers,SD,10,QB14,,,
119,Jay Cutler,CHI,9,QB15,,,
120,James Jones,OAK,5,WR47,,,
121,Terrance West,CLE,4,RB50,,,
122,Carlos Hyde,SF,8,RB51,,,
123,Ben Roethlisberger,PIT,12,QB16,,,
124,James Starks,GB,9,RB52,,,
125,Mike Evans,TB,7,WR48,,,
126,Andre Brown,HOU,10,RB53,,,
127,Latavius Murray,OAK,5,RB54,,,
128,Knile Davis,KC,6,RB55,,,
129,C.J. Anderson,DEN,4,RB56,,,
130,Roy Helu,WAS,10,RB57,,,
131,Rueben Randle,NYG,8,WR49,,,
132,Andy Dalton,CIN,4,QB17,,,
133,Tavon Austin,STL,4,WR50,,,
134,Andre Williams,NYG,8,RB58,,,
135,Eli Manning,NYG,8,QB18,,,
136,Steve Johnson,SF,8,WR51,,,
137,Carolina Panthers D/ST,CAR,12,DEF2,,,
138,Kyle Rudolph,MIN,10,TE9,,,
139,Jarrett Boykin,GB,9,WR52,,,
140,San Francisco 49ers D/ST,SF,8,DEF3,,,
141,Denver Broncos D/ST,DEN,4,DEF4,,,
142,Arizona Cardinals D/ST,ARI,4,DEF5,,,
143,Cincinnati Bengals D/ST,CIN,4,DEF6,,,
144,St. Louis Rams D/ST,STL,4,DEF7,,,
145,Kansas City Chiefs D/ST,KC,6,DEF8,,,
146,Jordan Reed,WAS,10,TE10,,,
147,Brandin Cooks,NO,6,WR53,,,
148,New England Patriots D/ST,NE,10,DEF9,,,
149,Buffalo Bills D/ST,BUF,9,DEF10,,,
150,Jonathan Stewart,CAR,12,RB59,,,
151,Matt Prater,DEN,4,K1,,,
152,Stephen Gostkowski,NE,10,K2,,,
153,Justin Tucker,BAL,11,K3,,,
154,Mason Crosby,GB,9,K4,,,
155,Steven Hauschka,SEA,4,K5,,,
156,Phil Dawson,SF,8,K6,,,
157,Nick Novak,SD,10,K7,,,
158,Adam Vinatieri,IND,10,K8,,,
159,Blair Walsh,MIN,10,K9,,,
160,Dan Bailey,DAL,11,K10,,,
161,Markus Wheaton,PIT,12,WR54,,,
162,Carson Palmer,ARI,4,QB19,,,
163,Devonta Freeman,ATL,9,RB60,,,
164,Jonathan Dwyer,ARI,4,RB61,,,
165,Andrew Hawkins,CLE,4,WR55,,,
166,Jordan Todman,JAC,11,RB62,,,
167,Brandon LaFell,NE,10,WR56,,,
168,Josh McCown,TB,7,QB20,,,
169,KaDeem Carey,CHI,9,RB63,,,
170,Doug Baldwin,SEA,4,WR57,,,
171,BenJarvus Green-Ellis,CIN,4,RB64,,,
172,Mike James,TB,7,RB65,,,
173,Joe Flacco,BAL,11,QB21,,,
174,Charles Clay,MIA,5,TE11,,,
175,Chris Polk,PHI,7,RB66,,,
176,Kenny Stills,NO,6,WR58,,,
177,Ryan Tannehill,MIA,5,QB22,,,
178,Marcel Reece,OAK,5,RB67,,,
179,Denarius Moore,OAK,5,WR59,,,
180,Johnny Manziel,CLE,4,QB23,,,
181,Robert Turbin,SEA,4,RB68,,,
182,Alex Smith,KC,6,QB24,,,
183,Bryce Brown,BUF,9,RB69,,,
184,Martellus Bennett,CHI,9,TE12,,,
185,Aaron Dobson,NE,10,WR60,,,
186,Jerick McKinnon,MIN,10,RB70,,,
187,Rod Streater,OAK,5,WR61,,,
188,Marvin Jones,CIN,4,WR62,,,
189,Tampa Bay Buccaneers D/ST,TB,7,DEF11,,,
190,New Orleans Saints D/ST,NO,6,DEF12,,,
191,Nick Folk,NYJ,11,K11,,,
192,Robbie Gould,CHI,9,K12,,,
